TicketDate,Hr,TicketCount
2013-12-17,23,6
2015-01-18,9,2
2014-09-20,19,323
2014-09-20,13,525
2015-07-15,20,285
2013-12-24,20,185
2015-06-01,19,272
2015-07-08,23,20
2014-09-27,16,530
2014-05-30,20,338
2015-11-05,19,297
2014-11-22,9,3
2015-04-28,9,5
2014-07-25,13,518
2015-09-16,16,422
2014-04-03,20,241
2015-11-25,15,584
2015-07-28,19,379
2014-11-29,12,372
2015-03-30,23,1
2014-08-01,16,415
2015-11-12,13,387
2014-07-11,22,166
2014-12-15,22,97
2014-09-20,16,524
2014-06-19,13,488
2014-09-13,19,309
2015-11-19,10,132
2014-04-09,19,330
2014-12-29,16,508
2014-04-02,22,110
2015-10-29,19,256
2015-11-04,21,177
2014-07-25,16,468
2014-09-06,22,228
2014-06-05,19,378
2014-11-09,19,273
2014-09-27,13,467
2014-04-17,11,236
2015-08-11,10,77
2014-11-02,16,428
2014-11-02,22,74
2014-04-10,14,449
2014-05-29,22,132
2015-09-30,13,368
2015-01-12,10,50
2014-08-08,10,112
2015-10-22,22,117
2014-10-26,19,277
2015-12-02,9,47
2015-08-04,13,458
2014-10-04,10,115
2014-06-06,14,474
2014-07-25,22,249
2013-12-31,14,515
2013-12-26,16,384
2015-11-11,18,344
2014-12-22,19,382
2014-08-15,13,517
2015-07-14,22,134
2015-09-23,10,84
2014-07-18,19,340
2014-08-02,14,487
2015-08-18,13,438
2014-04-10,11,197
2015-05-11,22,130
2015-05-12,15,324
2014-02-15,15,417
2014-11-19,17,307
2015-07-05,11,153
2015-01-12,13,244
2014-02-14,22,139
2014-02-05,14,223
2015-05-02,14,520
2015-05-21,23,1
2015-03-09,18,357
2015-07-14,19,296
2014-04-19,19,386
2013-12-13,18,395
2014-02-24,23,3
2013-12-03,17,266
2013-12-30,18,312
2015-01-31,22,83
2015-01-04,21,115
2015-02-27,17,327
2015-03-26,18,302
2013-12-31,11,386
2015-03-27,11,222
2014-03-04,15,299
2015-05-29,15,411
2013-12-21,10,156
2015-03-17,10,66
2014-01-09,19,248
2014-11-10,9,2
2015-04-05,19,293
2015-01-22,14,312
2014-03-14,10,72
2015-10-05,19,282
2015-02-08,14,423
2014-07-11,19,336
2014-03-13,23,1
2015-06-07,23,6
2015-06-08,10,63
2014-03-24,11,136
2015-02-18,15,289
2015-02-18,9,6
2013-12-03,23,1
2015-02-28,10,108
2014-10-04,13,442
2015-06-27,19,277
2014-10-31,14,375
2014-04-02,19,278
2015-02-01,9,2
2013-12-04,10,57
2015-02-27,23,2
2014-03-23,18,321
2015-06-17,18,415
2015-02-10,17,259
2015-02-17,22,53
2015-03-07,15,511
2014-09-15,10,90
2015-09-08,18,362
2014-04-21,22,98
2014-06-14,18,401
2014-01-01,21,113
2015-05-21,17,460
2014-06-24,19,391
2014-02-24,17,302
2014-08-26,23,8
2014-02-07,17,329
2014-03-06,18,299
2015-11-20,23,5
2014-04-11,21,203
2015-07-06,21,203
2015-08-29,17,451
2015-11-30,9,31
2015-11-10,22,61
2014-01-18,21,170
2014-05-18,23,3
2014-05-18,17,493
2015-08-12,17,354
2015-04-14,21,185
2015-11-13,9,47
2015-11-03,14,449
2014-12-07,10,136
2014-08-09,14,531
2014-05-08,22,136
2015-04-13,11,188
2014-09-05,18,354
2015-11-30,18,308
2015-08-02,16,413
2015-08-02,22,115
2014-08-26,17,312
2015-11-20,14,451
2015-11-20,17,396
2014-12-24,10,226
2015-08-29,23,16
2015-04-24,22,168
2015-01-03,11,241
2014-09-05,15,438
2015-11-30,15,301
2014-01-28,22,44
2014-06-04,23,3
2014-05-01,14,459
2014-10-12,14,598
2014-12-05,10,131
2014-09-15,16,303
2015-09-08,12,309
2014-06-14,12,362
2014-09-14,23,13
2015-11-29,22,60
2015-11-11,9,34
2015-09-18,13,540
2014-06-24,13,476
2014-04-12,8,1
2014-06-06,23,13
2014-07-30,19,348
2015-11-21,10,148
2015-10-24,19,329
2014-07-31,9,7
2014-08-27,10,78
2014-12-24,16,534
2015-10-25,9,18
2015-08-22,12,261
2014-05-28,12,393
2014-07-21,8,1
2014-10-02,13,422
2015-10-15,8,2
2014-11-08,9,2
2015-10-05,13,406
2014-10-29,14,418
2014-06-23,23,2
2014-08-09,20,321
2014-10-21,19,285
2013-12-02,10,67
2015-09-17,23,10
2015-05-31,12,315
2014-07-03,18,398
2014-03-06,12,349
2015-09-27,18,379
2015-09-28,8,1
2015-10-15,14,441
2014-11-17,20,198
2013-12-21,16,567
2014-07-21,14,413
2014-11-18,10,74
2014-03-15,23,5
2014-07-13,19,331
2015-11-01,14,389
2014-02-15,9,2
2015-05-12,9,5
2013-12-23,13,497
2015-01-12,19,238
2014-02-05,20,135
2014-04-12,14,510
2014-06-05,10,68
2015-08-30,10,118
2014-11-09,22,100
2015-01-02,18,374
2015-03-16,23,2
2014-04-29,14,321
2014-04-02,13,432
2015-06-27,13,426
2015-07-24,14,474
2015-08-20,9,3
2014-11-26,22,113
2014-12-06,23,5
2014-02-25,10,63
2014-09-24,18,356
2014-05-09,15,387
2015-11-12,22,122
2014-08-18,22,149
2015-02-08,20,143
2014-01-19,14,440
2014-12-16,18,404
2015-04-15,14,397
2015-04-15,8,4
2014-12-26,13,427
2015-04-22,19,323
2015-08-20,15,400
2015-05-19,20,298
2014-05-10,22,173
2014-05-26,15,469
2015-07-24,8,1
2014-01-09,13,361
2015-08-03,9,3
2015-04-05,13,392
2014-05-09,9,2
2014-03-14,13,469
2015-08-01,9,5
2014-01-19,17,362
2014-12-16,15,381
2015-06-07,20,263
2015-06-08,13,431
2015-05-29,12,410
2014-03-23,21,123
2015-06-17,21,202
2015-08-10,17,384
2014-01-09,16,285
2015-04-05,16,409
2014-04-29,17,277
2014-10-31,11,223
2015-07-24,17,459
2013-12-31,8,1
2015-09-16,13,436
2015-03-27,8,2
2015-09-25,21,243
2015-05-21,20,300
2014-01-10,9,2
2015-07-14,16,340
2014-02-24,20,164
2015-11-01,17,390
2015-05-11,19,367
2014-08-07,17,378
2014-04-20,9,3
2013-12-21,13,543
2015-03-17,13,362
2014-11-10,12,388
2015-01-22,11,139
2013-12-03,20,217
2015-01-31,19,268
2014-04-02,16,309
2015-06-27,16,434
2015-02-27,20,252
2013-12-04,13,415
2014-03-24,8,1
2015-02-18,12,295
2013-12-13,21,185
2014-08-19,12,447
2014-05-18,20,383
2015-08-12,20,249
2014-08-24,18,357
2014-10-17,14,518
2014-05-13,14,438
2015-07-22,9,2
2014-07-06,10,85
2014-06-29,13,335
2014-07-16,11,223
2015-11-24,22,99
2015-11-09,10,74
2014-05-06,17,346
2015-10-19,19,270
2014-09-01,10,128
2015-09-06,13,359
2014-03-28,10,98
2015-10-30,9,18
2014-07-09,14,427
2015-10-09,18,343
2014-09-26,23,13
2015-08-27,12,349
2015-08-16,22,126
2014-06-21,21,273
2014-08-14,17,338
2015-06-24,21,243
2014-10-06,18,384
2015-09-03,15,366
2015-09-03,9,2
2014-11-29,20,192
2014-06-08,22,138
2014-03-31,8,1
2015-10-12,22,107
2015-10-12,16,483
2014-11-22,23,6
2014-10-16,19,291
2015-08-24,14,414
2014-06-18,23,8
2015-10-02,21,170
2014-08-04,22,140
2014-06-28,18,381
2014-12-02,18,295
2015-10-30,15,438
2014-03-21,13,474
2015-09-13,10,141
2015-05-16,14,436
2014-10-24,11,240
2015-10-20,14,424
2014-07-19,9,1
2014-08-14,23,6
2015-09-14,11,161
2015-03-24,13,398
2015-05-17,9,4
2014-07-01,16,326
2015-07-12,14,423
2014-03-18,15,252
2015-09-04,10,117
2014-01-14,22,65
2015-03-31,10,71
2015-03-11,23,3
2014-11-21,22,121
2015-07-02,13,485
2014-10-09,16,407
2015-05-27,10,87
2014-01-31,11,152
2013-12-08,15,414
2014-05-14,15,453
2015-01-24,19,239
2014-12-01,23,2
2015-10-27,11,207
2014-05-24,10,160
2014-01-24,14,348
2014-02-10,12,240
2015-06-29,15,361
2015-05-17,18,342
2015-01-17,16,484
2015-01-17,22,106
2014-08-13,22,162
2014-09-29,21,208
2015-01-27,17,160
2014-02-03,9,2
2014-02-03,15,181
2014-10-09,22,109
2014-05-21,12,420
2015-07-19,11,216
2015-03-21,15,521
2014-01-21,19,141
2015-11-27,20,249
2015-05-07,17,325
2014-12-01,17,283
2014-05-14,9,2
2015-07-09,10,84
2014-12-22,8,1
2014-03-08,20,244
2014-01-31,14,310
2014-05-11,17,413
2014-03-01,23,6
2014-03-18,21,132
2015-03-14,18,400
2014-03-26,10,74
2015-02-06,12,375
2015-05-14,14,420
2014-01-21,13,278
2015-04-01,8,2
2014-12-04,18,311
2014-06-26,21,261
2013-12-16,10,71
2015-04-11,9,2
2015-07-09,16,377
2014-01-14,19,215
2013-12-01,18,236
2015-02-03,14,247
2014-01-24,20,160
2015-06-29,21,244
2015-10-10,19,344
2015-06-03,10,104
2015-05-06,19,337
2015-10-17,16,467
2013-12-19,8,4
2015-02-13,9,5
2014-10-16,13,481
2015-03-22,13,408
2015-07-20,9,2
2015-07-02,19,350
2014-04-08,9,2
2014-05-04,20,259
2013-12-09,13,370
2015-04-01,14,356
2014-09-28,23,1
2015-05-24,9,7
2015-01-24,13,368
2014-09-10,10,110
